jagħmilhom	does	يَا
negħmeż	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
twalilu	the following:	المعلومات التالية:
jiddeċiedu	decides	يقرر
ġenwina	true	حقيقة
esklużi	excluded	مَا فِيهِشْ
ħlejjaq	other animals	الحيوانات الأخرين
lealtà	loyalty	الولاء
catwalk	catwalk	كيتواك
safety	safety	السلامة
jlaħħqux	fish	السمكة
healthy	healthy	صحي
nispiċċa	end	النهاية
isemmu	name	اسم
serjetà	seriousness	خطورة
abbissi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Turkija	Turkey	تركيا
Spjegat	Explained	شرحو
nisrani	nursing	المرضى
ponn	Ponn	بون
jċafċaf	a weight of not more than 0,5%	مِنْ غِيرْ مَا يُقْصُدْ
friġġ	refrigeration	الثلاجة
ddominati	dominated	يهيمن
paniku	panic	فانيك
minġel	frozen	ثلاجة
rajtu	saw	ساكن
rokna	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
neħduha	take it	خذي
tempji	Other articles	المواد الأُخرى
Fuq	Up	فوق
Tottenham	The following is the list of the Member States:	القائمة التالية هي القائمة المشتركة بِالدول الأعضاء:
tara	see	شرف
brikkuni	Other, of a thickness of not more than 0,5%	وِلاَّ مِنْ غِيرْ سَمْكِةْ مِنْ غِيرْ
mastrudaxxa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Pariġi	The Commission shall adopt delegated acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهُمْ المَشْيَا مِن
jirriżulta	results	النتائج
validu	valid	صالحة
chairperson	chairperson	رئاسة
Sejjer	Going	يروح
combination	combination	المزيج
Apple	Apple and other products	طاحون و منتجات أخرى
iċċempel	the name of the person	إسم الشخص
sewqan	driving	القيادة
imfaħħar	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
flusu	flow	فلو
paradossali	Paradoxical	بارادوكسي
jsarrfu	to be carried out	يُتْنَجِّمْ
President	President	الرئيس
washers	Washers	المياه المُغْسِلَة
karm	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
ġriżmejha	of a kind used for the manufacture of foodstuffs	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
reġggħet	returned	رُدِّيو
delegazzjoni	delegation	المفوضية
nistħarrġu	study	دراسة
mustaċċi	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
mistoqsijiet	Questions	تسئلة
assigurani	Insurance	التأمين
Ħallina	Let us	خليلينا
Protezzjoni	Protection	الحماية
Elma	Other	مَا عِنْدُو
kaġunata	Caused	سبب
Ħadem	Work	العمال
idum	the duration	المدة
ammont	amount	المبلغ
minis	Minus	مَا فِيهِش
idit	Drying	جفاف
rispettati	Respected	يُحْتَرْمُوا
kontx	account	الحساب
kaptani	Captain	كابتن
tinħareġ	is released	يُطلع
prattiċi	the following:	المعلومات التالية:
iebsa	Hard	صعب
loved	loved	حَبّْبِينْ
umoristiku	Humorous	مضحكة
jixtiequ	wish	مُشَاء
Ċintura	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
muftieħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ċiniża	Chinese	الصينية
Rubens	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
naħa	side	الجانب
riġlejh	feet	قاعدين
tikkonferma	confirming	تثبت
quddiemna	in front of us	قُدَّامنا
imsaġar	wood	الخشب
tfuħ	Air	الهواء
nispjegaw	explain	شرحي
jaħkmek	govern you	حكمك
qaluli	said to me	قَالِلِّي
jżemaq	the following:	المعلومات التالية:
infinit	infinite	بلا نهاية
obdejt	I obeyed	طعت
extension	extension	التوسع
tikkmanda	ordering	الطلبات
tistħajlu	live	حية
staqsietni	you asked me	تسألني
engines	engines	المتحركات
jonħor	Other	مَا عِنْدُو
ħataf	the owner	المالك
bniehom	buildings	المباني
tellgħu	the weight of the product	ثقل المنتج
mkenna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jirnexxu	successfully	بنجاح
sidien	owners	المالكين
prince	Prince	امير
farkiet	the following information is provided:	المعلومات التالية:
nġib	to bring	بَاشْ يْجِيبُوا
siti	sites	المواقع
dejjem	always	دائماً
ikklikkja	click	كليك
kattoliċi	Catholics	الكاثوليك
ħarġa	issued	صاروا
Ewġenju	Eugenics	اليهوجينيكا
meded	measured	متقياس
diżlessika	dislexic	ديسليكسيك
telqet	has left	خَلاَّ
jinterpretaw	are interpreted	تُتفسير
privata	private	خاصة
lessjonijiet	lessons	دروس
tħejju	preparation	إعداد
kuraġg	courage	شجاعة
Sfortunatament	Unfortunately	لسوء الحظ
ilwien	Other	مَا عِنْدُو
Iżjed	Increased	زاد
kuritur	courier	كوريير
Hazard	Hazardous	خطرة
Sentejn	Two years	سَنَتْ عَامَتْ
Tkellimna	Speaking to us	يَحْكِي لِينَا
dwiefer	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
inxommha	the following:	المعلومات التالية:
kejb	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
bid	with	مع
Pierre	The Commission shall adopt implementing acts in accordance with Article 21 of this Regulation.	المُؤْمِنْ يَعْطِيهْ القُرْبَة مْتَاع
skedati	scheduled	المخطط
jċaqlaq	moving	يتنقل
jgħajruna	the following:	المعلومات التالية:
O	O	O
onesti	honest	صادقين
ubbidjenti	the following:	المعلومات التالية:
jinkludu	include	شملوا
ġabret	collected	جمع
nastas	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
naġar	the following:	المعلومات التالية:
tiġbed	drawn	طالع
go	go	إذهبي
jaqilgħu	fish	السمكة
naqbilx	disagree	ما نمتفقش
under	under	تحت
logħba	game	لعبة
tqanżiħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
offrihomx	do not offer	ما تقديمش
immigrazzjoni	immigration	الهجرة
tpoġġa	is placed	يُوضَع
fost	among	من بين
trakk	Truck	شاحنة
iben	child	الوَلْدْ
jġibhom	bring them	جِيبوهم
nisslulu	we are going to	نَحْنَا بَاشْ
jinħasel	washing	غسيل
nirien	fire	نيران
pronunzjamenti	Other words	كلمات أخرى
suprema	supreme	القيادة العليا
infridna	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
irreġistrata	registered	مسجلين
ħalliel	the following:	المعلومات التالية:
residenza	residence	الإقامة
maħsud	Manufacture from materials of heading 810	مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ مِنْ
xort	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
kitsch	Kitch	مطبخ
impenn	commitment	التزام
arju	Air	الهواء
għidlu	tell him	قُولُو
ikompli	continued	متواصلة
ener-	Energy	الطاقة
nieqfux	not stop	ما يتوقفش
jinġiebu	are brought	يجيوا
satax	up to six	لحد ستة
iqabbduh	to be combined	يجمعون
skoprejt	detected	كشفت
għoti	grants	الممنوحات
taz-	of the	من
nammira	target	الهدف
kunjomu	the name	الاسم
jerdagħlha	the following table shows the following:	الجدول التالي يظهر الشيطة الي بعيد:
jisma'	hears	يسمع
letterarji	Other articles	المواد الأُخرى
ikkonferma	Confirmed	ثبت
Għażilna	We were chosen	خُترونا
barrikati	Barricades	الحواجز
Domus	Other	مَا عِنْدُو
iddamdam	Other	مَا عِنْدُو
sibna	found	لقى
miġbuda	drawn	طالع
minestri	Ministers	وزراء
irrispondihom	respond to them	ردّ عليهم
jinfetħu	open	مفتوح
servewna	serving us	يخدمونا
Twaħħil	Fitting	مُلاَحِقْ
danakollu	However	باكيد
Pulizija	Police	شرطة
jidhirlux	are not shown	ما يظهروا
pożizzjoni	position	الموقف
stikka	a stick	طوطا
Vasko	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
rebbieħ	winner	فوز
diskussjonijiet	Discussions	المناقشات
eqreb	nearest	اقربة
tahx	of a kind used for the manufacture of	مِنْ النَّوْعْ المُخْتَارْ لِلخَيْرِين
Għawdxi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Nistennew	We are waiting	ننتظر
imnifsejja	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Avicii	Other, of a kind used for the manufacture of foodstuffs	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ لِلخ
Rembrandt	The following is a list of the products used:	هُوَ القَائِمْ مْتَاعْ المُنتَجَاتْ المُخْ
Vincent	Vincent	فنسنت
insurance	insurance	التأمين
possibbiltajiet	possibilities	إمكانات
Għada	The next day	في اليوم التالي
Giddieba	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
veritajiet	facts	حقائق
għarfuha	to its recognition	لاعترافها
tenniet	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
mingħajr	without	بلا
Malaysia	Malaysia	ماليزيا
perċentwali	Percentage of the total	% من الإجمالي
kkonfermati	confirmed	ثبت
manuskritt	handwritten	خط يدي
aktaril	Other	مَا عِنْدُو
nazzjonal	national	القومية
qatgħu	cutting	القص
tirann	tyrannine	تيرانيين
paga	Payment	الدفع
Id-	The	المُؤمنين
xmajjar	rivers	نهار
għar	for	ل
mbikkma	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ruħkom	self	نفس
sehem	share	حصة
jagħtas	gives	يطلع
xtaqtek	your wish	منيةك
aħbar	news	أخبار
ungeriż	Hungarian	المجرين
żarmaw	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jinħatar	appointed	مُعَيّْنْ
Micallef	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
moħħ	brain	دماغ
nazzjonalità	nationality	القومية
Kantanti	Singers	الغناءين
Skor	Sugar	السكر
mrobbi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
dettall	details	التفاصيل
pupu	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jor	Other	مَا عِنْدُو
spjegatilhom	explain to them	شرح لهم
bravo	goodbye	وداع
Parisot	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Helgun	Heligon	هيلجون
solvuta	solution	الحل
spjegat	explained	شرح
tqis	take into account	يحسبوا
Provvistà	Provision	الإتاحة
tidħolx	not enter	ما يُدخلش
nirringrazzjak	Thank you.	شكرك.
nisb	Other	مَا عِنْدُو
magħġuna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għaldaqstant	therefore	هيكما
Abram	Abram	أَبْرَامْ
bqija	Other	مَا عِنْدُو
qamu	stood	قَفْ
flessibiltà	flexibility	مرونة
fabbriki	Manufacture of textile materials	صناعة المواد النسائية
Do	Other	مَا عِنْدُو
daharha	behind it	وْخَلاْفْهَا
vaganzi	Vacancies	الوظائف الحرة
Denis	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
opportunitajiet	opportunities	فرصات
riti	Other articles	المواد الأُخرى
Thank	Thank you	شكرك.
ġuramenti	oaths	الحلفات
allokazzjoni	allocation	تخصيص
salvagwardja	the safeguarding	الحماية
dam	duration	فترة
tawhom	given	مَا خَلِّينِش
semma'	the following is added:	يُضافْ الشَّيْء الِّي يْتَحْكِي:
mas-	with the	مع المشاركة
Jiġu	They come	يجيوا
dnub	the debt	الدين
jġorru	carrying	الحمولة
tiċċekkja	checking	التحقق
intrata	income	دَخَلْ
brava	good	خيرا
Nhar	The following is the list of the countries:	هيكما القائمة من الدول:
Posta	Post office	مكتب البريد
rifuġjati	refugees	اللاجئين
xorbot	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
corrective	corrective	تصحيح
jista	may	مايو
gabbana	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Kitty	Kitty	كيتي
bellus	other	غيرها
NGO	The following is the list of the NGOs:	هُوَ القائِمْ مْتَاعْ المُؤْمْنِينْ الحُر
lirika	Other articles	المواد الأُخرى
Perna	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
tiddaħħal	is inserted	يُدْخَلْ
għaraftni	know me	تعرفني
tajtu	the size	الحجم
jgħinna	help us	عَاوِنَّا
differenzi	differences	الاختلافات
Warrior	Warrior	حَرْبِي
rebħet	winners	الفائزين
nagħtuhom	give them	إعطيهما
leġiżlattiv	the legislative	القوانين التشريعية
fuqu	on	على
Ellul	Other	مَا عِنْدُو
kollezzjoni	collection	جمع
Coming	Coming	بَاشْ يْجِيوْ
jfittxu	searching	البحث
vleġeġ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
miblul	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Intelliġenti	Smart	ذكي
Kif	How	كيفاش
jgħannqu	swallowing	تَبْلْعَة
xahar	month	الشهر
karrettun	Other, of a width of <= 10 mm	وِلاَّ مِنْ عِرْضْ مِنْ عِرْضْ
bikja	beef	لحم البقر
Slaw	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
titfa'	the following:	المعلومات التالية:
naraha	see	شرف
emmen	the following:	المعلومات التالية:
diskutibbli	Discussible	مُتناقش
gap	gap	الفجوة
aġġeġġ	hedges	الحواجز
żmienu	time	وقت
Speċifika	Specific	المحدد
sms	Other information	المعلومات الأُخرى
illeterati	Unread	ما يُقْرَاوْشْ
rilassat	released	يطلع
valette	Value	القيمة
kazzola	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jmexxi	lead	القيادة
budgets	Budget	الميزانية
tpinġijiet	Drawings	رسومات
speċifika	specific	المحدد
imdawwal	Lighting	الإضاءة
għadna	we are still	ما زِلْنَا
Ewropej	European Union	الاتحاد الأوروبي
Għad	Other	مَا عِنْدُو
jdoqqx	not sticking	ما يطالبوا
tawha	given	مَا خَلِّينِش
artab	soft	رَقْ
apprezzajna	we appreciated	نقدروا
ikkonċentra	concentrated	المكثفة
sidirha	the following:	المعلومات التالية:
ħasdek	the owner	المالك
Perici	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jaffettwaw	affect	تأثير
irtassu	the tax	الضرائب
staqsejtu	the question	السؤال
noti	Notes	الملاحظات
Camilleri	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
mikduda	suspected	المشتبه فيهم
jwasslu	lead	القيادة
żebbuġ	Other, of a fat content, by weight, of >= 5%	مِنْ غِيرْ مَا، مِنْ حَتَّى حَتَّى حَ
inxir	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
foqra	poverty	الفقر
fid-	in the	في
jidhrilhom	appear	ظهرت
ninsistu	nurses	الممرضات
jiġru	occur	يظهر
tifhimni	understanding	فهمة
tgħajjir	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ġarrbu	have been tested	تم اختبارها
Għadha	Not yet	ما زالتش
mar	to	ل
Belfast	Belfast	بلفاست
jitkixxef	dissolved	مُحْلُولْ
akkademika	academic	أكاديمية
kuntratti	contracts	العقود
dad	father	ابو
tgħidha	you say	تقولين
kaġun	Cajun	كاجون
tintilef	lost	ضاعين
ambjentali	environmental	البيئة
past	Past	ماضي
jqerru	Destroying	تدمير
irregola	the rule	القاعدة
Demm	Blood	دَمْ
naplitani	other than those of heading 810	مِنْ غِيرْ مِنْ المُخْتَصِّينْ مْتَاعْ
Familji	Family	العائلة
modern	modern	مودرن
ħażin	bad	سيء
konċett	Concept	المفهوم
Ridtek	I want you	نحبك
Rabtin	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
qas	a.	أ.
passaġġ	Passage	الممر
tpinġi	painting	طلاءات
malti	Maltese	مالطية
pensjoni	pension	العقود التقاعدية
erbgħin	forty	أربعين
Muscat	Muscat	مُسْكَاتْ
bhima	with	مع
tiffriża	freezing	التجميد
tonfoħ	opens	يفتح
jintgħarfu	are recognised	مُعْرَفْ
ramona	other	غيرها
tgħożż	the following:	المعلومات التالية:
Raqqa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ħdax	11	11
reliġjożament	religious	الدينية
użanza	use	استخدام
insara	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
kit	Other	مَا عِنْدُو
Armata	Military	الجيش
elenku	List of products	قَائِمْ المُنتَجْ
mitu	my	المُحْتَاجِي
ftakar	remember	تَذْكُرْ
minorka	minor	قاصر
eċċitament	Excitement	الحماسة
timxi	moving	يتنقل
ppersegwitati	persecuted	اضطهاد
simone	the following:	المعلومات التالية:
sħubija	the partnership	الشراكة
tridni	you want me	تحبني
godfri	food	الغذاء
ħalli	to allow	يسمحوا
call	call	نادي
għamiltux	have not	ما كانش
nadottak	notches	كريات
torrijiet	towers	البراج
ħabbat	Other	مَا عِنْدُو
iqumu	to perform	ليتم
table	Table	طاولة
litwan	Lithuania	ليتوانيا
centre	centre	المنتصف
iserraħ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
pitrolju	Oil and gas	النفط و الغاز
pranzu	food	الغذاء
nagħlqu	to be closed	يُغْلُو
jġibu	bring	جَابِينْ
iċċekknu	to check	لتحقق
tapp	Tap	ضغطوا
suċċess	success	ناجاح
jixxaqqaq	coughing	السعال
proprju	own	الملازمة
aspettava	expected	متوقع
nsuq	market	السوق
għatx	for the	ل ل
ippreżentajna	we presented	قدمنا
qattiel	slaughter	المذبحة
riservata	reserved	الحجوزات
jdawruna	around us	حولنا
wiċċi	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
Brikkuni	Other, of a thickness of not more than 0,01 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
jitfa'	is deleted	مُحَطِّي
bdejna	we started	بدأنا
istess	equal	متساوية
friegħi	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
qelgħet	planted	زراعة
ġibtuh	the goods are imported	السلع متوردة
all	all	الكل
Esponewlu	Exponuled	مَعْرُوفْ
fetħithom	opening them	يفتحوهم
Irridu	We need	نحتاجه
saqajna	feet	قاعدين
id-	the	المشاركة
clearly	clearly	بواضح
takkumpanja	accompanied	مرافقه
neputi	Nephews	نَوَاتْ
midwife	widespread	متلاشي
jiltaqgħu	meet	نلاقي
tfalli	failure	الفشل
stabbiliti	established	ثبت
buqar	cattle	البقريات
maltemp	weather	الطقس
żviluppati	developed	طورتو
emendata	amended	مُصَدَّقْ
Ippruvajt	I tried	حاولت
ħasdet	has	فما
dsatax-	the sixteenth	السادساش
René	René	ريني
indiretta	indirect	غير مباشرة
ambone	Ammonium nitrate	نيترات الأمونيوم
inkredibbli	Unbelievable	مَا يِتْصَدِّقْشْ
xufftejh	the lips	الشفاه
riesaq	fish	السمكة
tislima	the delivery	التسليم
marokko	Morocco	مُرْكُونْ
sakemm	provided that:	مِالمَا:
jinkorla	bearing	كاير
milwija	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
jgħajjarni	I am not a doctor	آنَا مُوشْ دِكتورْ
qrib	close	قريبة
kaħla	cattle	البقريات
nibki	crying	بَكْي
t'	the	المشاركة
naġġustaw	adjusted	مُعَدِّلْ
lejna	for us	لِينَا
konklavi	conclaves	المشاريع
dar-	the	المشاركة
jeħodha	take	خذي
rebħiet	winnings	الفوزات
Tidher	It seems	يبدوا
draha	self	نفس
dmirhom	their duties	واجباتهم
cruise	cruise	كروز
Żimbabwe	The following is the list of countries:	هيكما قائمة الدول:
financial	financial	المالي
geddum	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Raħal	Village	قرية
Qawmien	The following is a list of the categories of products:	هُوَ القَائِمْ مْتَاعْ فِرْقَاتْ المُنتَ
qamx	Other, not elsewhere specified or included	وِلاَّ مَا يُشْكُلْ فِي أَحَدْ الأَثَ
jintlaqa'	is accepted	قَبِلْ
kwalifiki	Qualifications	المهارات
isfond	background	الخلفية
fetħet	opened	مفتوح
titlu	Title	العنوان
dommhom	continuous	متواصلة
Rita	Other articles	المواد الأُخرى
grampun	grape	العنب
pop	Pop	بابي
misfel	below	أدناه
rixa	risk	الخطر
disgħin	ninety	تسعين
Emeritu	Emeritus	المُخْلِصْ
Spanjola	Spanish	الإسبانية
Attività	Activity	النشاط
mal-	with the	مع المشاركة
jisfoga	is drowned	يُغْرُقْ
jisgħobbik	He likes you	هو يحبك
inħallik	I leave you	نَبْعِدْ عْلِيكْ
barmil	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
jintlaħqu	be achieved	يُحْقَقْ
idawlu	lighting	الإضاءة
nafx'	not know'	ما نعرفش"
reazzjoni	reaction	رد فعل
reklamar	advertising	الإعلان
balal	Other	مَا عِنْدُو
Gżejjer	Islands	جزر
tistieden	the invitation	الدعوة
milied	children	أطفال
ħsarat	damaged	متضررة
ddmugħ	tears	الدموع
dwar	on	على
antik	Other	مَا عِنْدُو
man-	with the	مع المشاركة
are	are	هيه
ssaħħaħ	strengthening	القوة
poġġi	put	إضافة
ħarba	escape	هروب
buskett	a basket	سلة
żammew	maintained	يُحْفَظْ
ilenn-	the day of	لليوم
Nibdew	Starting	بَاشْ نُبْدَى
mis-	from the	من
protett	protected	مُحَمّْدَة
isem	name	اسم
esperjenzi	experience	الخبرة
għajjejt	tired	متعبين
jżerżaq	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
belin	other	غيرها
semantikament	semantically	من الناحية المفاهيمية
dottorat	Doctorate	الدكتوراه
Komunità	Community	المجموعة
ninħabbu	we love	نحبهم
Parole	Paragraphs 1 and 2	الفقرات 1 و 2
premessa	the premise	المبدأ
awtonomu	self-contained	متاعا
missieru	father	ابو
Balli	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
ma	not	لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا
waħħaltha	the anchorage	المُثَبِّتْ
Itrarja	Other	مَا عِنْدُو
mifruxa	scattered	متفرقة
mqabbda	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
kastel	castle	قصر
ixxukkjatu	Dried	جَفَّى
ħalqu	manufacturer	المصنّع
innoċenza	innocence	البراءة
libsin	Other articles of clothing	فُرْقَة وِلاَّ مَا عِنْدْهَا
imbarazzata	embarrassed	خجل
Tenna	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
kwartier	quarters	رُبْعَة
samrani	other	غيرها
jiddiletta	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
għas-	for the	ل ل
suffering	suffering	المعاناة
ġlekk	fish	السمكة
eks-	ex-	كايب
teħodha	take	خذي
sufan	a sufan	صوفان
imdawwar	surrounded	حاطة
istramberija	foreigners	الأجانب
passiġġier	passenger	راكب
Ġappun	Japanese	اليابانية
ipeċpeċ	Specific	المحدد
Nistgħu	We can	نجمنا
jgħin	help	المساعدة
Tmerih	Show it	وريني
bravu	Brave	جَرْبِي
va	the following:	المعلومات التالية:
!	- What?	-شنية؟
żrinġ	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Pawl	The Commission	المفوضية
facebook	the following information:	المعلومات التالية:
sofferenza	suffering	المعاناة
reqqet	Other	مَا عِنْدُو
Twelidt	Born	وُلِدْ
qsari	Other articles	المواد الأُخرى
lejhom	to them	لِيهُمْ
firma	Signature	توقيع
ellul	Other	مَا عِنْدُو
maħduma	Manufacture from materials of any heading	صَنْعِة مِالمِتْعَاوِنْ مِنْ أَيْ م
ambaxxatriċi	Other articles of apparel	فُرُوجْ مِنْ مِنْ مِنْ مِنْ مِنْ مِ
ifittxu	to seek	ليبحثوا
marċi	the mark	العلامة
nkompli	continue	تواصل
tgħallimha	teaching	التدريس
jinteressani	interested	المهتمين
beraħ	Open	مفتوح
intradmu	Intracyclic	فِي الكُلْ مَا
jidhirlix	appears	يظهر
platti	Plates and sheets	طوابع و شرائح
truf	End of	نهاية من
Ewwel	First	اول ما نجم
jirratifika	ratifies	يُصَدِّقْ
qed	are	هيه
maltempata	storm	العاصفة
ġġarrfet	crawled	كراود
lesta	ready	جاهز
mmur	go	إذهبي
urtata	Other, of a thickness of not more than 10 mm	وِلاَّ مِنْ غَيْرِهَا، مِثْلُو، مِ
xniegħa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
sad-	to the	ل
Pool	Pool	البئرش
grokk	Greek	اليوناني
viċin	near	قريبة
tirtira	withdrawal	سحب
konsulenti	consultants	مستشارين
falluta	Bankruptcy	الإفلاس
ġbarna	we collected	جمعنا
ġonna	vegetable	الخضروات
reaputazzjonijiet	Reappointments	الميعادات
tridx	want	نريد
tikkonċerna	concerns	مخاوف
claims	claims	المزاعم
maskot	the animal	الحيوان
nuża	use	استخدام
Kap	Head	رَاسْ
tagħfashom	to help them	نْسَاعِدْهُمْ
ġibda	traction	القيادة
kuġinuh	of a kind used for the manufacture of goods	مِنْ النَّوْعْ المُخْتَارْ لِلخِدْمَة
jaħdem	works	العمال
nafdawh	trust him	ثق به
Ġaiety	Other	مَا عِنْدُو
wirtu	heritage	التراث
bull	Bull	ثور
naturali	natural	الطبيعي
libset	clothing	ملابس
skantat	scant	قليل
homework	homework	واجب البيت
Semmewha	Name of the manufacturer	اسم المصنعي
beżqa	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
funzjonijiet	functions	الوظائف
inġabar	collected	جمع
three	3	3
dehrux	not more than 1 kg	لا يزيد على 1 كيلو غرام
stagħġbu	the following:	المعلومات التالية:
Qatt	Not at all	حَتَّى حَتَّى
jitwaqqaf	be discontinued	يُقْطَعْ
perfett	Perfect	كمالك
iżżommu	keep	إبقوا
latrina	Latrine	لاطرين
Paolino	Other articles of heading 810	المنتجات الأُخرى مِنْ الوْصِيَّة 810
sezzjoni	section	القسم
jħaħasra	Other, of a kind used for the manufacture of goods	وِلاَّ مِنْ النَّوْعْ المُخْتَلِصْ
Diviżjoni	Division	القسم
ingħaqdu	joined	مُقَابِلْ
tidher	appears	يظهر
nqata'	cutting	القص
tfajna	we have	عندنا
forward	Forward	قُدَّامْ
xjenza	science	علم
titjiriet	flights	طائرات
